"SaaS, Core, Affliate, Data Institute ",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,Ambar + Ai,,Affiliate Launch,,National Expansion Launch,,,,,
Industry Clients,Business Intelligence,Manual,,Semi,,Yes (Pilot),,,,,,,Native
,,,,,,,,,,,,,
Payment Management,Client Payment,Manual,,Manual,,Auto Payment / Web Setup,,,,,,,Auto Payment / Web Setup
,,,,,,,,,,,,,
Web Access / Website Portal,Client Setup / Services,Manual,,Self-Service (Pilot),,Self- Service (Market Ready),,,,,,,Self- Service 
Web Access / Website Portal,Web Access - Hart Team,Internal Team,,Updated - Pilot,,New Platform,,,,,,,Native
Web Access / Website Portal,Web Access - Affliate,NA,,Yes (Pilot),,Yes (Market Ready),,,,,,,Native
Web Access / Website Portal,Web Access - Client,NA,,Yes (Pilot),,Yes (Market Ready),,,,,,,Native
,,,,,,,,,,,,,
National Provider Data/Operations,Syndicated Data,No,,No,,No,,,,,,,Native
National Provider Data/Operations,Trade Promotions,No,,No,,Yes (Pilot),,,,,,,Native
National Provider Data/Operations,TPM - Trade Promotion Solution,No,,No,,Yes (Pilot),,,,,,,Native
National Provider Data/Operations,Distributor Depletion Reporting (Comp VIP),No,,No,,Yes (Pilot),,,,,,,Native
National Provider Data/Operations,Supplier Depletions  Reporting,No,,No,,Yes (Pilot),,,,,,,Native
National Provider Data/Operations,Brand Team CRM,No,,No,,No,,,,,,,Native
National Provider Data/Operations,Commercial Planning,No,,No,,No,,,,,,,Native
